sleeper_id,sleeper_name,yahoo_id,yahoo_name,espn_id,espn_name,cbs_id,cbs_name,hashtag_id,hashtag_name,fantrax_id,fantrax_name,nba_id
2012,Jordan Poole,6216,Jordan Poole,4277956,Jordan Poole,2892690,Jordan Poole,17329,Jordan Poole,'051p8,Jordan Poole,1629673
1595,Myles Turner,5471,Myles Turner,3133628,Myles Turner,2152935,Myles Turner,9252,Myles Turner,'03ad2,Myles Turner,1626167
2259,Evan Mobley,6514,Evan Mobley,4432158,Evan Mobley,3178170,Evan Mobley,31032,Evan Mobley,'05uid,Evan Mobley,1630596
1450,CJ McCollum,5161,CJ McCollum,2490149,CJ McCollum,2067685,CJ McCollum,9447,CJ McCollum,'031lx,CJ McCollum,203468
1128,Bradley Beal,5009,Bradley Beal,6580,Bradley Beal,1992783,Bradley Beal,9523,Bradley Beal,'02nf3,Bradley Beal,203078
2143,Desmond Bane,6422,Desmond Bane,4066320,Desmond Bane,2268516,Desmond Bane,27649,Desmond Bane,'05qt3,Desmond Bane,1630217
1787,Jarrett Allen,5835,Jarrett Allen,4066328,Jarrett Allen,2268537,Jarrett Allen,13749,Jarrett Allen,'04ewm,Jarrett Allen,1628386
2620,Scoot Henderson,10048,Scoot Henderson,4683678,Scoot Henderson,29005041,Scoot Henderson,111203,Scoot Henderson,'06cdn,Scoot Henderson,1630703
2309,Jalen Green,6513,Jalen Green,4437244,Jalen Green,26602347,Jalen Green,31031,Jalen Green,'05uic,Jalen Green,1630224
1831,OG Anunoby,5836,O.G. Anunoby,3934719,OG Anunoby,2844732,OG Anunoby,13750,OG Anunoby,'04ewn,OG Anunoby,1628384
1974,Deandre Ayton,5958,Deandre Ayton,4278129,Deandre Ayton,2891991,Deandre Ayton,15198,Deandre Ayton,'049kd,Deandre Ayton,1629028
2086,Tyler Herro,6175,Tyler Herro,4395725,Tyler Herro,3042352,Tyler Herro,17295,Tyler Herro,'051ot,Tyler Herro,1629639
2308,Alperen Sengun,6558,Alperen Sengun,4871144,Alperen Sengun,26646084,Alperen Sengun,31045,Alperen Sengün,'05uiq,Alperen Sengun,1630578
2126,Tyrese Maxey,6413,Tyrese Maxey,4431678,Tyrese Maxey,3142479,Tyrese Maxey,27450,Tyrese Maxey,'05qsq,Tyrese Maxey,1630178
1350,Rudy Gobert,5197,Rudy Gobert,3032976,Rudy Gobert,2067669,Rudy Gobert,9503,Rudy Gobert,'02xg9,Rudy Gobert,203497
1799,Kyle Kuzma,5840,Kyle Kuzma,3134907,Kyle Kuzma,2842826,Kyle Kuzma,13753,Kyle Kuzma,'04ewr,Kyle Kuzma,1628398
2456,Keegan Murray,6694,Keegan Murray,4594327,Keegan Murray,3178498,Keegan Murray,38942,Keegan Murray,'06213,Keegan Murray,1631099
2441,Walker Kessler,6712,Walker Kessler,4433136,Walker Kessler,3178012,Walker Kessler,38790,Walker Kessler,'0621l,Walker Kessler,1631117
1378,Khris Middleton,5073,Khris Middleton,6609,Khris Middleton,1992813,Khris Middleton,9334,Khris Middleton,'02ng3,Khris Middleton,203114
2445,Jabari Smith Jr.,6693,Jabari Smith Jr.,4432639,Jabari Smith Jr.,26776259,Jabari Smith,38797,Jabari Smith Jr.,'06212,Jabari Smith,1631095
1983,Anfernee Simons,6035,Anfernee Simons,4351851,Anfernee Simons,2938080,Anfernee Simons,15221,Anfernee Simons,'04qs1,Anfernee Simons,1629014
